split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
S0,agnostic_nonlinear,full,None,G1,location,2518,5,0.20480141069935326,0.0021182292301226767,0.05489776169336985,0.000533428865428274,0.4239872915011914,0.00802479532116958
S0,agnostic_nonlinear,full,None,G2,all,5000,5,0.16214981555524438,0.0006875003978904225,0.04303620845655254,0.00017777533572274298,0.38136,0.007246240404513235
S0,agnostic_nonlinear,full,None,G2,location,5000,5,0.16214981555524438,0.0006875003978904225,0.04303620845655254,0.00017777533572274298,0.38136,0.007246240404513235
S0,agnostic_nonlinear,full,None,G3,all,5000,5,0.13565521934139818,0.00029180862691742553,0.03635875757270053,9.001568535283877e-05,0.42548,0.0032267630839588994
S0,agnostic_nonlinear,full,None,G3,location,5000,5,0.13565521934139818,0.00029180862691742553,0.03635875757270053,9.001568535283877e-05,0.42548,0.0032267630839588994
S0,agnostic_nonlinear,full,None,G4,action,2500,5,0.08665641362762508,0.0006077445098585382,0.022780666820214356,0.00014251636214314626,0.46744,0.00021908902300207272
S0,agnostic_nonlinear,full,None,G4,all,5000,5,0.13109909020011484,0.0014836492514010422,0.03386916004743438,0.00035374246807366326,0.37444,0.004124075654010251
S0,agnostic_nonlinear,full,None,G4,location,2500,5,0.1755417667726046,0.0024007150299509296,0.04495765327465439,0.0005803729852425384,0.28144,0.008249121165312099
S0,agnostic_nonlinear,full,None,G5,action,2462,5,0.16510682858059603,0.0003186536649968396,0.04518811107107438,0.0001694997058322386,0.471161657189277,0.0
S0,agnostic_nonlinear,full,None,G5,all,5000,5,0.18964084046795535,0.0021984449883120103,0.05171441789734908,0.0006455944083282326,0.4332,0.005285830114561007
S0,agnostic_nonlinear,full,None,G5,location,2538,5,0.21344018533268297,0.004076933009055899,0.058045295520000116,0.0011221700093500047,0.3963750985027581,0.010413376900238401
S0,agnostic_nonlinear,full,None,G6,action,2457,5,0.1944457252352058,0.00017079752394426085,0.05019383591589895,7.234935334914254e-05,0.42214082214082216,0.0014215913061923452
S0,agnostic_nonlinear,full,None,G6,all,5000,5,0.1740068984345531,0.0002758318402309659,0.04556875205893961,7.93794525466173e-05,0.40204000000000006,0.0019616319736382734
S0,agnostic_nonlinear,full,None,G6,location,2543,5,0.15425927851744592,0.00044647779488245817,0.04110008079014328,0.00013102000170475483,0.3826189539913488,0.003348286741236031
S0,agnostic_nonlinear,full,None,S0,action,2479,5,0.12281379521550051,0.00014417577452514882,0.03284182847795849,4.278190807361704e-05,0.4761597418313836,0.0015254272207494038
S0,agnostic_nonlinear,full,None,S0,all,5000,5,0.14460044871979,0.00014393857036959612,0.03833506891687911,1.859121557363455e-05,0.41159999999999997,0.0011224972160321799
S0,agnostic_nonlinear,full,None,S0,location,2521,5,0.16602413536680846,0.0003409166556338765,0.04373679166502833,6.750653956849053e-05,0.3481158270527568,0.001873180317829052
S0,agnostic_simple,full,None,G1,action,2482,5,0.1884114104695849,0.0004942826311565451,0.05156611779938517,0.00012526275226508183,0.568815471394037,0.004142244371466488
S0,agnostic_simple,full,None,G1,all,5000,5,0.20065675214829307,0.000551035942998638,0.05415034258153227,0.00013026948582460808,0.48188,0.003201874451005226
S0,agnostic_simple,full,None,G1,location,2518,5,0.21272702142809985,0.0010243388675837337,0.056697620543918734,0.0002495227794258249,0.3961874503574266,0.004409870259727175
S0,agnostic_simple,full,None,G2,all,5000,5,0.1554034194481811,0.00017170148904918704,0.041199685880365614,5.4243505683397095e-05,0.42752000000000007,0.0012214745187681968
S0,agnostic_simple,full,None,G2,location,5000,5,0.1554034194481811,0.00017170148904918704,0.041199685880365614,5.4243505683397095e-05,0.42752000000000007,0.0012214745187681968
S0,agnostic_simple,full,None,G3,all,5000,5,0.13610906652379293,0.00012210234831705726,0.03643686896872296,3.929929200420653e-05,0.44311999999999996,0.0020228692493584476
S0,agnostic_simple,full,None,G3,location,5000,5,0.13610906652379293,0.00012210234831705726,0.03643686896872296,3.929929200420653e-05,0.44311999999999996,0.0020228692493584476
S0,agnostic_simple,full,None,G4,action,2500,5,0.08804587061208179,0.00013678256611912798,0.023020449319237208,2.718640960074435e-05,0.48792,0.0001788854381999883
S0,agnostic_simple,full,None,G4,all,5000,5,0.13400473479969494,0.00033365197592671604,0.03436227531911652,7.602330281476368e-05,0.39308,0.0007293833011524145
